Original Size,Encoded Size,Entropy,Avg Code Len
168,49,2.29831,2.33333
408,243,4.69203,4.76471
160,20,1,1
160,68,3.32193,3.4
272,34,0.936667,1
168,60,2.80735,2.85714
168,35,1.58496,1.66667
296,127,3.38826,3.43243
248,111,3.55793,3.58065
344,43,0.693127,1
2384,1093,3.62554,3.66779
